[-16.0, 26.3125, -62.0]
[-8.5625, 9.6875, -57.375]
[-0.6875, 2.8125, -47.0625]
[-11.5, -15.6875, -34.0]
[-18.75, -24.6875, -22.875]
[-8.9375, -27.6875, -14.75]
[11.4375, -28.875, -6.25]
[12.3125, -28.625, 6.125]
[8.0, -25.875, 10.5625]
[-4.6875, -21.625, 12.75]
[-11.625, -16.3125, 12.4375]
[-6.375, -11.375, 10.125]
[-4.8125, -9.1875, 8.5]
[-11.1875, -3.25, 1.5625]
[-12.25, 7.875, -3.875]
[-12.6875, 11.4375, -4.25]
[-11.0625, 10.6875, -3.625]
[-11.9375, 10.0, -4.25]
[-11.25, 8.9375, -6.9375]
[-6.0, 6.9375, -8.6875]
[-3.875, 6.9375, -5.4375]
[-6.4375, 7.125, 1.1875]
[0.9375, 5.3125, 3.375]
[6.625, 2.4375, 2.1875]
[3.0, 1.25, 3.1875]
[1.375, 0.125, 4.8125]
[2.0, -1.9375, 5.1875]
[5.1875, -3.5625, 5.5625]
[7.9375, -2.1875, 5.375]
[9.75, -2.25, 4.8125]
[9.6875, -0.6875, 4.75]
[6.8125, 1.5625, 3.0]
[0.0625, 3.875, 0.6875]
[-2.625, 5.625, -0.1875]
[-0.5625, 8.1875, -0.5]
[2.0625, 9.5625, -1.1875]
[0.0, 9.5, -0.875]
[-2.9375, 9.6875, -0.3125]
[-3.3125, 10.1875, -0.25]
[1.75, 12.0625, 0.875]
[1.5625, 14.0, -0.3125]
[-1.0, 14.1875, -1.0625]
[-2.0625, 13.8125, -1.0625]
[-2.9375, 13.1875, -1.9375]
[-3.0, 12.1875, -2.0625]
[-4.125, 10.125, -1.6875]
[-2.875, 7.625, -2.375]
[-2.0, 5.9375, -2.9375]
[-4.5, 4.375, -3.4375]
[-3.875, 2.875, -3.4375]
[-3.3125, 1.0625, -4.0]
[-4.125, 0.5625, -3.0]
[-4.5625, 0.3125, -1.8125]
[-4.875, 0.9375, -0.8125]
[-3.4375, 2.3125, -0.125]
[-1.0, 3.1875, -0.75]
[-2.1875, 1.625, 0.25]
[-3.6875, -0.625, 1.5]
[-3.0, -2.0, 1.9375]
[-1.625, -2.375, 1.875]
[0.1875, -1.4375, 2.0]
[-0.6875, 0.8125, 0.625]
[-0.125, 1.8125, 0.5625]
[2.5625, 0.5625, -0.5625]
[4.3125, -0.875, -1.0625]
[2.125, -1.3125, -0.5625]
[0.1875, -0.6875, 0.0]
[4.5625, -0.75, -1.0]
[6.6875, -0.625, -1.375]
[4.3125, -0.25, -1.0]
[0.75, -0.125, -2.25]
[-1.875, -0.3125, -2.25]
[-2.4375, -0.75, -2.3125]
[-1.9375, -1.75, -1.1875]
[-2.25, -1.9375, -0.8125]
[-1.5625, -2.8125, 0.125]
[0.0, -3.375, 2.0]
[1.25, -3.75, 1.0]
[5.9375, -3.625, 1.3125]
[6.4375, -3.5, 2.0]
[2.6875, -3.25, 2.25]
[0.0, -3.375, 1.8125]
[-1.8125, -2.75, 1.6875]
[-3.125, -1.5625, 0.8125]
[-4.0625, -0.4375, 0.5]
[-2.6875, 0.25, 0.5]
[-2.5625, 0.3125, 0.625]
[-1.375, 0.3125, 0.625]
[3.3125, 0.0625, 0.0625]
[5.6875, 0.3125, 0.0]
[5.25, 0.3125, -0.5625]
[2.9375, 0.0, -0.4375]
[2.1875, -0.75, -0.125]
[2.9375, -0.75, -1.0625]
[0.6875, -1.1875, -0.625]
[-0.125, -0.5625, -1.0625]
[-0.125, -0.9375, -0.875]
[-0.4375, -0.8125, -0.625]
[0.625, -0.875, -0.5]
[2.1875, -1.1875, -0.875]
[1.625, -1.3125, -0.5]
[1.4375, -1.0625, -0.8125]
[1.125, -0.9375, -1.125]
[2.5, -0.8125, -2.125]
[2.875, -0.5625, -2.3125]
[2.5, 0.375, -2.5625]
[-0.1875, 0.3125, -2.5625]
[-1.1875, 0.5, -2.5]
[-1.0625, 1.5, -3.125]
[-1.1875, 0.6875, -3.25]
[-1.6875, 0.625, -4.25]
[-2.6875, 0.25, -4.875]
[-5.125, 0.875, -4.875]
[-6.1875, 1.375, -3.875]
[-4.125, 2.125, -3.25]
[-3.9375, 3.125, -1.125]
[-1.875, 5.5625, 1.9375]
[1.8125, 9.0, 5.5]
[4.9375, 11.8125, 9.25]
[4.0, 13.3125, 12.0625]
[1.25, 13.4375, 13.3125]
[1.875, 13.5, 14.1875]
[3.75, 14.125, 13.75]
[4.25, 14.0625, 12.625]
[6.75, 12.875, 11.375]
[9.8125, 10.6875, 10.875]
[7.875, 8.5, 8.9375]
[5.125, 6.5625, 7.25]
[2.0625, 5.125, 4.8125]
[-2.0625, 3.625, 1.8125]
[-4.375, 2.25, 0.0625]
[-6.125, 0.8125, -1.25]
[-7.625, 0.125, -2.75]
[-6.9375, -0.25, -3.3125]
[-8.125, -0.3125, -4.1875]
[-12.375, -0.6875, -4.375]
[-14.9375, -1.8125, -4.4375]
[-11.8125, -2.5625, -4.4375]
[-8.75, -2.75, -4.8125]
[-8.6875, -2.0, -4.3125]
[-8.375, -2.375, -2.9375]
[-6.4375, -2.125, -2.25]
[-4.375, -1.6875, 0.1875]
[-0.0625, -0.5625, 2.0]
[2.125, 0.3125, 2.5]
[2.0, 0.9375, 3.0625]
[0.5625, 1.6875, 2.5625]
[-1.375, 2.125, 1.375]
[-1.3125, 2.8125, 1.0]
[0.75, 3.0625, 0.875]
[0.4375, 3.375, -0.0625]
[-3.4375, 2.75, -0.4375]
[-3.4375, 2.375, -1.0]
[-1.6875, 1.875, -1.4375]
[0.3125, 0.5625, -0.6875]
[0.0, 0.5, -0.125]
[-1.25, -0.0625, 0.8125]
[-0.9375, -0.125, 2.5]
[-0.25, -1.625, 2.125]
[-0.4375, -1.9375, 2.5]
[2.25, -2.25, 2.4375]
[0.5, -1.75, 2.375]
[-2.6875, -1.6875, 2.75]
[-1.9375, -1.6875, 2.6875]
[-0.625, -1.8125, 2.0]
[0.8125, -1.375, 1.875]
[0.25, -0.5, 1.1875]
[-0.25, 0.1875, 1.125]
[-1.625, 0.6875, 0.875]
[-2.0, 1.125, 1.1875]
[0.125, 1.9375, 1.375]
[1.25, 3.125, 1.625]
[0.0, 3.75, 2.1875]
[0.6875, 3.4375, 2.6875]
[0.1875, 3.0, 2.4375]
[-0.625, 3.0, 3.0625]
[1.75, 3.0625, 3.5]
[2.0625, 3.25, 2.6875]
[0.625, 2.875, 2.625]
[0.5, 2.3125, 2.375]
[2.25, 1.75, 2.5]
[1.8125, 1.3125, 2.4375]
[1.8125, 1.1875, 2.125]
[2.0625, 1.5, 2.3125]
[2.4375, 2.0625, 2.625]
[0.9375, 2.0625, 2.375]
[0.6875, 2.3125, 2.25]
[0.5, 2.1875, 2.0625]
[1.375, 1.9375, 1.8125]
[0.5625, 2.5625, 1.8125]
[-0.5625, 2.5, 2.25]
[0.75, 2.1875, 2.25]
[-0.125, 2.4375, 2.25]
[0.0625, 1.625, 2.3125]
[3.5, 1.25, 2.1875]
[2.3125, 0.375, 2.25]
[-0.5, 0.25, 2.3125]
[1.125, 0.1875, 2.5]
[2.5625, 0.0, 2.5625]
[1.0625, 0.1875, 2.25]
[-0.125, 0.3125, 1.625]
[2.0625, 0.375, 1.9375]
[1.6875, 0.9375, 1.75]
[0.1875, 1.4375, 1.4375]
[-0.25, 2.6875, 1.4375]
[-0.0625, 3.1875, 0.375]
[1.25, 3.0, 0.8125]
[0.25, 1.0625, 1.0]
[2.9375, 1.0, 1.0]
[4.8125, 0.8125, 2.25]
[3.8125, 0.9375, 3.4375]
[2.5625, 0.875, 4.0625]
[3.4375, 0.8125, 4.875]
[5.0625, 0.75, 5.25]
[5.375, 0.25, 5.6875]
[5.5625, 0.1875, 5.9375]
[4.5625, 0.625, 4.9375]
[3.125, 1.5625, 3.875]
[2.6875, 2.125, 3.125]
[2.5625, 2.6875, 2.4375]
[2.125, 3.75, 2.0625]
[-0.0625, 6.375, 1.3125]
[-3.4375, 7.6875, -0.75]
[-5.0, 5.375, -0.75]
[-2.875, 3.125, -1.3125]
[0.125, 2.125, -1.5]
[1.125, 1.9375, -1.9375]
[-1.75, 0.5625, 1.25]
[-1.6875, 0.1875, -0.125]
[-0.3125, -0.125, 0.0625]
[2.875, -1.25, 1.25]
